,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
92,Wade Hampton Census Area,AK,5.2,42.0,13.7,5.4,76.6,474,575,-18.3,71,91.7,0.3,0.2,1.1,0.0,2.6,5.2,4.9,71.1,1744,2183,109300,4.39,3.4,40176,11210,31.4,0,0.6,17081.43,50.0,89.5,0,6.0,47.5,351,7459,8010,7.4,0.4,0,0,395,5211,0.0,0.0,0.0,0.0,0.0,0,0.0
2369,Buffalo County,SD,7.2,40.5,13.3,9.1,78.2,42,172,9.6,11,78.7,0.1,0.6,3.5,0.0,2.2,18.4,17.9,37.3,542,608,38800,3.62,8.5,30962,11405,35.6,0,0.4,471.38,4.0,93.5,0,16.0,50.2,79,1912,2077,8.6,4.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,91,0.0
2421,Todd County,SD,7.3,40.4,13.0,12.4,77.6,201,1192,-29.0,55,86.2,0.3,0.3,3.7,0.0,2.4,10.8,10.4,46.5,2680,3132,40200,3.62,16.9,31934,10575,44.6,0,0.7,1388.56,22.3,86.5,0,17.3,51.4,497,9612,9882,2.8,6.9,17,0,395,3911,55.0,0.0,0.0,0.0,0.0,382,25.7
2417,Shannon County,SD,6.8,38.1,11.7,11.8,78.8,326,1845,1.2,66,92.2,0.1,0.2,3.7,0.0,1.6,5.9,5.2,52.5,2867,3580,19900,4.7,4.5,25648,8768,53.2,0,0.0,2093.9,24.4,93.1,0,16.4,51.6,679,13586,14218,4.7,6.5,180,0,392,2883,48.7,0.0,0.0,0.0,0.0,349,0.0
2032,Sioux County,ND,7.3,37.5,12.2,17.7,83.3,119,950,0.0,28,81.7,0.1,0.3,3.8,0.0,3.0,14.9,14.4,44.6,1116,1330,70700,3.76,12.5,36111,15478,40.5,0,0.5,1094.09,11.3,90.9,0,16.9,50.0,209,4153,4422,6.5,3.8,0,0,132,3195,66.7,0.0,0.0,0.0,0.0,123,0.0
70,Bethel Census Area,AK,6.6,36.1,11.1,11.7,79.5,1079,3174,0.3,232,81.7,1.1,0.8,1.8,0.2,4.1,12.1,11.5,64.2,4358,5920,189600,3.9,13.0,51689,18497,22.8,11,1.2,40570.0,66.7,85.2,0,7.4,48.3,909,17013,17868,5.0,0.4,40,34,967,5658,54.7,0.0,0.0,0.0,0.0,1238,20.8
85,Northwest Arctic Borough,AK,6.9,36.1,11.5,11.0,78.7,219,1591,-4.3,72,78.8,0.9,1.0,2.1,0.2,6.0,13.1,12.1,56.0,1828,2704,131000,4.0,17.5,61607,21461,22.0,20,1.2,35572.58,33.9,83.1,0,7.6,45.8,367,7523,7717,2.6,0.2,0,0,415,5599,51.9,0.0,0.0,0.0,0.0,189,39.7
2427,Ziebach County,SD,6.7,35.7,6.3,14.7,82.5,54,268,24.7,43,71.2,0.4,0.3,3.7,0.0,3.7,24.4,24.0,51.7,803,984,70100,3.51,11.6,32708,12339,42.3,0,0.9,1961.27,23.4,87.9,0,20.3,49.0,130,2801,2826,0.9,1.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37,0.0
1740,Thurston County,NE,12.1,35.6,10.1,15.8,86.3,294,1282,-8.8,122,56.4,0.3,0.6,4.5,0.0,2.3,40.3,38.4,67.0,2050,2417,68500,3.33,9.9,41400,17106,26.9,2,1.0,393.58,7.3,89.4,0,16.7,50.6,400,6940,6969,0.4,17.6,0,1149,540,7443,0.0,0.0,0.0,0.0,0.0,302,0.0
2791,Morgan County,UT,11.3,35.4,8.4,33.4,97.6,910,1452,2.5,235,0.4,0.7,0.3,2.7,0.1,0.9,97.6,95.3,89.2,2860,3306,264400,3.39,2.8,80337,26274,4.0,83,1.8,609.2,3.3,91.7,0,26.1,49.1,725,9469,10608,12.0,15.5,56,0,426,5058,0.0,0.0,0.0,0.0,0.0,1191,0.0
